charity|charity|softlines,2
charity|hardlines|ttd - leisure,1
charity|hbw|hbw,12
charity|hbw|retail,2
charity|home|end,5
charity|hotel|hotel,1
charity|retail|end,28
charity|retail|h&a,1
charity|retail|health & beauty,1
charity|retail|retail,8
charity|retail|tech & toys,1
charity|softlines|home,3
charity|softlines|softlines,7
charity|tech & toys|softlines,1
charity|ttd|hbw,3
charity|ttd|tech & toys,1
charity|ttd - leisure|h&a,2
charity|ttd - leisure|ttd - leisure,20
f&d|charity|softlines,1
f&d|f&d|end,330143
f&d|f&d|health & beauty,6918
f&d|f&d|hotel,5411
f&d|f&d|tech & toys,10995
f&d|h&a|hbw,5254
f&d|h&a|hotel,538
f&d|h&a|multi,8
f&d|h&a|unknown,27
f&d|hardlines|health & beauty,1047
f&d|hardlines|multi,1
f&d|hardlines|softlines,3969
f&d|hardlines|tour,20
f&d|hardlines|unknown,35
f&d|hbw|f&d,27336
f&d|hbw|health & beauty,2013
f&d|hbw|hotel,1416
f&d|hbw|tour,137
f&d|hbw|ttd - live,1964
f&d|health & beauty|h&a,839
f&d|health & beauty|hbw,2260
f&d|health & beauty|ttd,991
f&d|health & beauty|ttd - live,307
f&d|health & beauty|unknown,42
f&d|home|end,16939
f&d|home|hbw,2105
f&d|home|tour,28
f&d|home|unknown,37
f&d|hotel|home,380
f&d|hotel|hotel,6394
f&d|hotel|retail,1355
f&d|hotel|ttd,707
f&d|hotel|ttd - live,306
f&d|hotel|unknown,12
f&d|multi|h&a,18
f&d|multi|tech & toys,7
f&d|multi|ttd,4
f&d|multi|ttd - live,5
f&d|retail|end,94184
f&d|retail|h&a,4259
f&d|retail|hardlines,5948
f&d|retail|unknown,92
f&d|softlines|f&d,6770
f&d|softlines|retail,4089
f&d|softlines|ttd,1062
f&d|tech & toys|end,19749
f&d|tech & toys|f&d,5459
f&d|tech & toys|hardlines,3473
f&d|tech & toys|hotel,331
f&d|tech & toys|multi,2
f&d|tech & toys|tech & toys,15109
f&d|tech & toys|unknown,29
f&d|tour|f&d,149
f&d|tour|hotel,24
f&d|ttd|multi,10
f&d|ttd - leisure|tech & toys,2933
f&d|ttd - leisure|ttd - leisure,69408
f&d|ttd - live|charity,1
f&d|ttd - live|health & beauty,126
f&d|ttd - live|home,421
f&d|ttd - live|hotel,236
f&d|ttd - live|tech & toys,498
f&d|ttd - live|tour,23
f&d|unknown|hbw,221
f&d|unknown|multi,1
f&d|unknown|retail,134
f&d|unknown|softlines,88
f&d|unknown|ttd - leisure,109
f&d|unknown|unknown,334
h&a|charity|charity,3
h&a|charity|h&a,2
h&a|f&d|end,25182
h&a|f&d|health & beauty,671
h&a|f&d|multi,7
h&a|f&d|retail,4284
h&a|f&d|ttd - leisure,5134
h&a|h&a|home,5327
h&a|h&a|hotel,2322
h&a|h&a|tech & toys,5784
h&a|h&a|unknown,143
h&a|hardlines|end,12618
h&a|hardlines|charity,1
h&a|hardlines|hbw,1360
h&a|hardlines|multi,1
h&a|hardlines|ttd - live,231
h&a|hardlines|unknown,16
h&a|hbw|end,41705
h&a|hbw|retail,5115
h&a|hbw|ttd,1943
h&a|hbw|ttd - leisure,6795
h&a|health & beauty|f&d,614
h&a|health & beauty|h&a,2485
h&a|health & beauty|hbw,1251
h&a|health & beauty|tour,17
h&a|health & beauty|ttd - leisure,834
h&a|health & beauty|ttd - live,176
h&a|home|h&a,2686
h&a|home|retail,1320
h&a|home|softlines,1777
h&a|home|tour,16
h&a|home|ttd - live,199
h&a|hotel|multi,4
h&a|hotel|ttd - leisure,897
h&a|multi|end,66
h&a|multi|home,3
h&a|multi|ttd - leisure,23
h&a|multi|ttd - live,5
h&a|retail|hardlines,2280
h&a|retail|tour,46
h&a|retail|ttd,1323
h&a|softlines|hotel,173
h&a|tech & toys|f&d,764
h&a|tech & toys|hotel,189
h&a|tech & toys|tech & toys,7491
h&a|tour|health & beauty,8
h&a|tour|retail,25
h&a|tour|ttd,13
h&a|ttd|h&a,6824
h&a|ttd|softlines,964
h&a|ttd|tech & toys,802
h&a|ttd|ttd,11075
h&a|ttd|ttd - leisure,4543
h&a|ttd|unknown,55
h&a|ttd - leisure|home,1142
h&a|ttd - leisure|tech & toys,1329
h&a|ttd - leisure|ttd - leisure,29474
h&a|ttd - leisure|unknown,3
h&a|ttd - live|hardlines,309
h&a|ttd - live|ttd - leisure,1401
h&a|unknown|end,140
h&a|unknown|health & beauty,22
h&a|unknown|hotel,4
h&a|unknown|retail,40
h&a|unknown|ttd - leisure,44
h&a|unknown|ttd - live,12
hardlines|f&d|end,8622
hardlines|f&d|f&d,5651
hardlines|f&d|tour,21
hardlines|f&d|ttd,613
hardlines|f&d|ttd - live,236
hardlines|h&a|end,6408
hardlines|h&a|hbw,881
hardlines|h&a|tech & toys,575
hardlines|h&a|ttd - live,146
hardlines|h&a|unknown,8
hardlines|hardlines|f&d,5270
hardlines|hardlines|health & beauty,6216
hardlines|hardlines|home,18576
hardlines|hardlines|retail,13924
hardlines|hardlines|ttd,3073
hardlines|hardlines|unknown,203
hardlines|hbw|tech & toys,1095
hardlines|hbw|ttd,625
hardlines|health & beauty|f&d,628
hardlines|health & beauty|h&a,470
hardlines|health & beauty|home,2469
hardlines|health & beauty|ttd,589
hardlines|health & beauty|unknown,37
hardlines|home|hbw,1708
hardlines|home|retail,3329
hardlines|home|ttd - leisure,1589
hardlines|home|ttd - live,330
hardlines|hotel|end,2346
hardlines|hotel|hbw,198
hardlines|hotel|retail,283
hardlines|hotel|ttd,136
hardlines|hotel|ttd - live,60
hardlines|hotel|unknown,2
hardlines|multi|ttd - leisure,4
hardlines|softlines|h&a,657
hardlines|softlines|hardlines,14754
hardlines|softlines|home,6204
hardlines|softlines|hotel,304
hardlines|tech & toys|end,18399
hardlines|tech & toys|f&d,923
hardlines|tech & toys|multi,3
hardlines|tech & toys|softlines,5659
hardlines|tech & toys|ttd - leisure,1442
hardlines|tour|end,167
hardlines|tour|f&d,6
hardlines|tour|h&a,5
hardlines|tour|softlines,22
hardlines|tour|tech & toys,13
hardlines|tour|ttd - leisure,19
hardlines|ttd|tour,15
hardlines|ttd - leisure|home,912
hardlines|ttd - leisure|hotel,241
hardlines|ttd - leisure|retail,1927
hardlines|ttd - live|f&d,153
hardlines|ttd - live|h&a,76
hardlines|ttd - live|health & beauty,33
hardlines|ttd - live|retail,354
hardlines|ttd - live|tech & toys,190
hardlines|ttd - live|ttd - live,944
hardlines|unknown|h&a,10
hardlines|unknown|hardlines,116
hardlines|unknown|home,48
